Part time workers									
		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS	Became UC	Became UC	Became UC	Became UC	Escaped UC	Escaped UC	Escaped UC	Escaped UC
									
headage	Head age	0.00238	0.00762	0.00781	0.0123	-0.0202**	-0.0122	-0.0168	-0.00607
		(0.00349)	(0.00497)	(0.00547)	(0.0102)	(0.00811)	(0.0130)	(0.0115)	(0.0193)
headage_squared	Head age^2	-6.12e-05	-0.000110**	-0.000100*	-0.000165	0.000267***	0.000177	0.000184	8.91e-05
		(3.73e-05)	(5.28e-05)	(5.61e-05)	(0.000104)	(9.31e-05)	(0.000150)	(0.000135)	(0.000218)
headblack	Head black	0.0831***	0.118***	0.0916***	0.109**	-0.00906	0.0269	0.0143	0.0406
		(0.0181)	(0.0256)	(0.0281)	(0.0463)	(0.0276)	(0.0390)	(0.0396)	(0.0599)
2.headedu		-0.0228	-0.0278	-0.0404	-0.0655	-0.00969	-0.0349	0.0194	0.0115
		(0.0176)	(0.0247)	(0.0249)	(0.0445)	(0.0294)	(0.0466)	(0.0404)	(0.0750)
3.headedu		-0.0606***	-0.0677***	-0.0577**	-0.0660	0.0508*	0.0639	0.0824**	0.1000
		(0.0147)	(0.0207)	(0.0225)	(0.0417)	(0.0299)	(0.0475)	(0.0415)	(0.0726)
4.headedu		-0.119***	-0.102***	-0.0919***	-0.0963**	0.0728	0.0155	0.151**	0.237*
		(0.0157)	(0.0220)	(0.0235)	(0.0447)	(0.0485)	(0.0675)	(0.0646)	(0.126)
became_married	Became married	0.0445	0.00523			-0.0356	0.0397		
		(0.0459)	(0.0548)			(0.0816)	(0.135)		
stay_married	Stay married	0.0251**	0.0457***			-0.0716***	-0.0346		
		(0.0115)	(0.0150)			(0.0235)	(0.0377)		
became_div_sep	Became divorced/separated	-0.00535	0.00852			0.0135	0.193*		
		(0.0448)	(0.0767)			(0.0868)	(0.115)		
chg_num_children	Chg. in # of children	0.00257	-0.0245	-0.00564	-0.0298	-0.00374	0.00559	-0.0119	-0.0348
		(0.0113)	(0.0162)	(0.0165)	(0.0270)	(0.0198)	(0.0294)	(0.0270)	(0.0469)
chg_nonlabor_inc	Chg. family's non-labor income	1.68e-07	1.32e-06***	4.18e-07	9.50e-07	1.37e-06	1.82e-06	2.24e-06	4.27e-06
		(3.59e-07)	(5.07e-07)	(4.70e-07)	(8.41e-07)	(1.81e-06)	(2.68e-06)	(2.63e-06)	(3.23e-06)
chg_log_headwage	Chg. ln head wage	-0.00922	0.000612	-0.00358	0.00333	0.00685	-0.0154	-0.000456	-0.0182
		(0.00762)	(0.00629)	(0.00701)	(0.00656)	(0.0130)	(0.0226)	(0.0181)	(0.0221)
chglog_headhour	Chg. ln head annual hours	-0.00952	-0.0155	-0.0170	-0.0255	0.0504**	-0.0235	0.0575*	2.18e-06
		(0.0133)	(0.0178)	(0.0192)	(0.0286)	(0.0239)	(0.0414)	(0.0310)	(0.0591)
became_hmowner	Became homeowner	0.0369	0.0891*	0.0541	0.116	-0.0125	-0.100	0.0823	0.0437
		(0.0306)	(0.0524)	(0.0445)	(0.100)	(0.0560)	(0.0836)	(0.0733)	(0.127)
dislimithswrk	Disability limits house work	-0.0170	-0.0424**	-0.0424**	-0.0650**	0.0156	0.0391	0.0187	0.0647
		(0.0137)	(0.0196)	(0.0178)	(0.0291)	(0.0329)	(0.0530)	(0.0459)	(0.0843)
headsecjob	Head has 2+ jobs	0.0453***	0.0310	0.0461**	0.0378	-0.0204	0.0421	-0.0171	0.0816
		(0.0160)	(0.0291)	(0.0214)	(0.0572)	(0.0302)	(0.0684)	(0.0437)	(0.0875)
pt_to_ft	PT to FT	-0.0302**	-0.0185	-0.0351**	-0.0210	0.373**	0.169***	-0.00825	0.146**
		(0.0119)	(0.0173)	(0.0177)	(0.0310)	(0.180)	(0.0408)	(0.303)	(0.0622)
became_hourlywaged	Became hourly wage worker	0.0497**	0.0303	0.0699*	0.0444	-0.0632*	-0.0957*	-0.0997	0.0733
		(0.0222)	(0.0292)	(0.0411)	(0.0738)	(0.0381)	(0.0572)	(0.0622)	(0.119)
chgd_jobs	Chg'd job		0.0402*		0.0693*		0.0835*		0.0989*
			(0.0229)		(0.0413)		(0.0428)		(0.0588)
relocated			0.0198		0.0488		0.0552		-0.00518
			(0.0253)		(0.0613)		(0.0438)		(0.0705)
got_addl_job	Got add'l job		-0.0325		-0.0117		0.0171		-0.119
			(0.0347)		(0.0674)		(0.0838)		(0.119)
chgd_union_status	Chg'd union status		-0.0180		-0.0529		-0.0269		0.00645
			(0.0270)		(0.0467)		(0.0558)		(0.0855)
chg_foodout	Chg. food-out ratio		-1.43e-05		-7.65e-06		1.96e-05		3.42e-06
			(1.33e-05)		(1.30e-05)		(3.01e-05)		(3.56e-05)
chg_housework_hours	Chg. HW hours		3.29e-05*		4.16e-05		-4.92e-05		-8.65e-05*
			(1.70e-05)		(2.73e-05)		(3.65e-05)		(4.95e-05)
chglog_wifehour	Chg. ln wife annual hours			-0.00273	-0.00188			-0.00345	-0.0174
				(0.00325)	(0.00690)			(0.00607)	(0.0133)
wifeage	Wife age			-0.00240	-0.000714			0.00479	0.00387
				(0.00181)	(0.00389)			(0.00369)	(0.00625)
2.wifeedu				-0.0384	0.00420			-0.0501	-0.0900
				(0.0273)	(0.0528)			(0.0392)	(0.0729)
3.wifeedu				-0.0274	0.0221			0.0230	0.0404
				(0.0275)	(0.0527)			(0.0468)	(0.0893)
4.wifeedu				-0.101***	-0.0998*			-0.0273	-0.0441
				(0.0281)	(0.0517)			(0.0774)	(0.143)
wife_enters_workforce	Wife starts working				-0.0487				0.191
					(0.0647)				(0.134)
pt_to_unemp	PT to Unemp.					0.176		-0.477	
						(0.268)		(0.307)	
